id,lat,lon,name,address,neighborhood,source
osm-305658309,21.3087358,-157.849649,,"Alapai Street, Makiki Kai, Honolulu, Honolulu County, Hawaii, 96843, United States",honolulu,osm
osm-305658451,21.3136666,-157.8503712,,"Prospect Street, Makiki Kai, Honolulu, Honolulu County, Hawaii, 96843, United States",honolulu,osm
osm-305658452,21.3123488,-157.851501,,"Aleo Hale, 1619, Kamamalu Avenue, Hawaii Capital Historic District, East Honolulu, Honolulu, Honolulu County, Hawaii, 96813, United States",honolulu,osm
osm-305799914,21.3144982,-157.8091577,,"Loomis Street, Mānoa, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States",honolulu,osm
osm-305799915,21.3145172,-157.8088638,,"Kahaloa Drive, Mānoa, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States",honolulu,osm
osm-306046627,21.2958864,-157.8400797,,"Sandalwood, 910, Ahana Street, Pawaa, Honolulu, Honolulu County, Hawaii, 96814, United States",honolulu,osm
osm-306046628,21.2955696,-157.8402035,,"Rycroft Street, Pawaa, Honolulu, Honolulu County, Hawaii, 96814, United States",honolulu,osm
osm-306048721,21.3004808,-157.8301409,,"Punahou Chalet, 1521, Alexander Street, McCully, Honolulu, Honolulu County, Hawaii, 96826, United States",honolulu,osm
osm-306192416,21.3131366,-157.8554538,,"Pali Highway, Chinatown, Honolulu, Honolulu County, Hawaii, 96843, United States",honolulu,osm
osm-306192421,21.3134039,-157.8596932,,"Honolulu Park Place, 1212, Nuuanu Avenue, The Arts District, Hawaii Capital Historic District, East Honolulu, Honolulu, Honolulu County, Hawaii, 96817, United States",honolulu,osm
osm-306301536,21.3443721,-157.9126079,,"831, Ala ʻIlima Place, Salt Lake, Honolulu, Honolulu County, Hawaii, 96818, United States",unknown,osm
osm-307662645,21.2570948,-157.7998985,,"Palaoa Place, Black Point, Kāhala, East Honolulu, Honolulu, Honolulu County, Hawaii, 96828, United States",unknown,osm
osm-309255548,21.3349711,-158.0867897,Waterworld,"Waterworld, Farrington Highway, City Center, Makakilo City, Kapolei, Honolulu County, Hawaii, 96707, United States",kapolei,osm
osm-309259991,21.33637,-158.085803,,"Big Kahuna, Farrington Highway, City Center, Makakilo City, Kapolei, Honolulu County, Hawaii, 96707, United States",kapolei,osm
osm-309265526,21.335884,-158.0862764,,"Big Kahuna, Farrington Highway, Makakilo City, Kapolei, Honolulu County, Hawaii, 96707, United States",kapolei,osm
osm-311240424,21.2801402,-157.8314547,,"The Breakers Hotel, 245, Saratoga Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-311241494,21.2804065,-157.8311506,,"The Breakers Hotel, 245, Saratoga Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-311241495,21.2806689,-157.8312971,,"Saratoga Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-317242119,21.2809912,-157.8346151,Maile Pool,"Maile Pool, Kalia Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-317840239,21.3019071,-157.855993,,"Royal Capitol Plaza, 876, Curtis Street, Kaka‘ako, Honolulu, Honolulu County, Hawaii, 96813, United States",honolulu,osm
osm-320741874,21.2799797,-157.825332,,"Nahua Street, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",waikiki,osm
osm-320742174,21.2798203,-157.825732,,"Nohonani Street, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",waikiki,osm
osm-322072360,21.2860718,-157.8387462,,"Ala Moana Boulevard, Ala Moana, Honolulu, Honolulu County, Hawaii, 96841, United States",honolulu,osm
osm-325065154,21.3819327,-158.0216761,,"Waipahu Street, West Loch, Village Park, Waipahu, Honolulu County, Hawaii, 96797, United States",unknown,osm
osm-325501992,21.3029902,-157.836979,,"Keeaumoku Street, Pawaa, Honolulu, Honolulu County, Hawaii, 98622, United States",honolulu,osm
osm-325535244,21.3064712,-157.8742403,,"Pritchard Street, CGX, Sand Island, Honolulu, Honolulu County, Hawaii, 96819, United States",unknown,osm
osm-327492416,21.2933641,-157.8116179,,"Dole Street, Saint Louis Heights, East Honolulu, Honolulu, Honolulu County, Hawaii, 96848, United States",honolulu,osm
osm-327493891,21.2642279,-157.7824327,,"Kahala Avenue, Waialae-Kahala, Black Point, Kāhala, East Honolulu, Honolulu, Honolulu County, Hawaii, 96821, United States",unknown,osm
osm-329355492,21.314498,-157.8557163,,"Pali Highway, The Arts District, Chinatown, Honolulu, Honolulu County, Hawaii, 96843, United States",honolulu,osm
osm-329356240,21.3107402,-157.8543485,,"Punchbowl Street, Hawaii Capital Historic District, Honolulu, Honolulu County, Hawaii, 96843, United States",honolulu,osm
osm-329358832,21.3395864,-157.8405778,,"Oʻahu Country Club, 150, Country Club Road, Nuʻuanu, East Honolulu, Honolulu, Honolulu County, Hawaii, 96817, United States",honolulu,osm
osm-334764593,21.3266769,-157.8763757,,"Mc Neill Street, Kalihi Kai, Honolulu, Honolulu County, Hawaii, 96817, United States",kalihi,osm
osm-350096307,21.5355199,-158.0200735,,"Paalaa Uka Pupukea Road, Helemano Military Reservation, Honolulu County, Hawaii, 96786, United States",whitmore-village,osm
osm-359437282,21.3324388,-158.121514,,"Longboards, Mauloa Place, Kapolei, Honolulu County, Hawaii, 96707, United States",unknown,osm
osm-359437283,21.3326459,-158.1207976,,"Waipahe Place, Kapolei, Honolulu County, Hawaii, 96707, United States",unknown,osm
osm-359437284,21.3312555,-158.1218887,,"Shower (private), Waipahe Place, Kapolei, Honolulu County, Hawaii, 96707, United States",unknown,osm
osm-359437285,21.3312387,-158.1216447,,"Shower (private), Waipahe Place, Kapolei, Honolulu County, Hawaii, 96707, United States",unknown,osm
osm-364761485,21.3852527,-157.9111401,,"Halawa Heights Road, Hālawa Heights, Aiea, Honolulu County, Hawaii, 96701, United States",aiea,osm
osm-367337428,21.2907,-157.7067048,,"Hawai’i Kai Drive, Hahaione High Rise, East Honolulu, Honolulu, Honolulu County, Hawaii, 96825, United States",hawaii-kai,osm
osm-435971432,21.28197,-157.8282678,,"Mahina and Sun's, Lewers Street, Kalakaua Shopping District, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-440459970,21.3122409,-157.8389633,,"Roosevelt High School, Nehoa Street, Makiki, East Honolulu, Honolulu, Honolulu County, Hawaii, 98622, United States",honolulu,osm
osm-440760632,21.2781829,-157.7733385,,"Kalani High School, 4680, Kalaniana’ole Highway, Wailupe, Waialae-Kahala, East Honolulu, Honolulu, Honolulu County, Hawaii, 96821, United States",kahala,osm
osm-440906195,21.367984,-157.9569599,,"1275, Saratoga Boulevard, Waipahu, Honolulu County, Hawaii, 96818, United States",pearl-harbor,osm
osm-444338695,21.4087095,-157.8094494,Kaneohe District Park Pool,"Pookela Street, Kapunahala, Kaneohe, Honolulu County, Hawaii, 96744, United States",kaneohe,osm
osm-446693405,21.3454594,-158.0842676,,"Anipeahi Street, Makakilo City, Kapolei, Honolulu County, Hawaii, 96707, United States",kapolei,osm
osm-452021982,21.3126022,-157.859167,,"Honolulu Park Place, 1212, Nuuanu Avenue, The Arts District, Chinatown, Honolulu, Honolulu County, Hawaii, 96817, United States",honolulu,osm
osm-452622383,21.314314,-157.8555478,,"Pali Highway, The Arts District, Chinatown, Honolulu, Honolulu County, Hawaii, 96843, United States",honolulu,osm
osm-454766286,21.3022876,-157.8161046,,"Mid-Pacific Institute, Kaala Street, Lower Mānoa, Mānoa, East Honolulu, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-462873178,21.37559,-157.9736423,,"Lanakila Avenue, Pearl City, Honolulu County, Hawaii, 96860, United States",waipahu,osm
osm-463284276,21.3491011,-157.8933711,,"Mahiole Street, Moanalua Gardens, Honolulu, Honolulu County, Hawaii, 96859, United States",unknown,osm
osm-468251099,21.3445766,-157.9036448,,"Ala ʻIlima Street, Salt Lake, Honolulu, Honolulu County, Hawaii, 96818, United States",unknown,osm
osm-468569106,21.4039767,-157.9305604,,"Kaahele Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569108,21.4041202,-157.9304964,,"Kaahele Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569109,21.4046505,-157.930266,,"Kaahele Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569111,21.4052558,-157.9308274,,"Kaahele Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569112,21.4039165,-157.9323069,,"Ainanui Loop, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569114,21.4045744,-157.9343704,,"Kahaea Place, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569115,21.4053027,-157.9349631,,"Ainanui Loop, Waimalu, Aiea, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569116,21.3997576,-157.9366701,,"Kaahele Street, Waimalu, Aiea, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569117,21.398583,-157.9368687,,"Kuini Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569118,21.4003787,-157.9416799,,"Nohoalii Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569120,21.3998528,-157.9415628,,"Kaahele Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569121,21.3986675,-157.9403974,,"Aloalii Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569122,21.3986079,-157.9413275,,"Nohoalii Street, Waimalu, Waipahu, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569124,21.3981723,-157.9471109,,"98-456, Kaahele Street, Waimalu, Aiea, Honolulu County, Hawaii, 96701, United States",pearl-city,osm
osm-468569125,21.3993399,-157.9783479,,"Acacia Road, Pearl Highlands, Pearl City, Honolulu County, Hawaii, 96782, United States",pearl-city,osm
osm-469560073,21.2819031,-157.8379231,Keiki Pool,"Hau Tree Bar, 2005, Kalia Road, Waikīkī, Honolulu, Honolulu County, Hawaii, 96815, United States",honolulu,osm
osm-469560074,21.281957,-157.8376878,Super Pool,"Super Pool, Duke Kahanamoku Lagoon Boardwalk, Waikīkī, Honolulu, Honolulu County, Hawaii, 96830, United States",honolulu,osm
osm-477288589,21.6405666,-157.9233587,,"Brigham Young University Hawaii, Kulanui Street, Laie, Honolulu County, Hawaii, 96762, United States",laie,osm
osm-480330678,21.3059206,-157.8272913,,"Ahualani Place, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330680,21.3056101,-157.826562,,"2082, Ahualani Place, Lower Mānoa, Makiki, East Honolulu, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330681,21.3057852,-157.8263016,,"Manoa Road, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330682,21.307664,-157.8261483,,"1892, Judd Hillside Road, Lower Mānoa, Makiki, East Honolulu, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330683,21.3072408,-157.826208,,"Judd Hillside Road, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330686,21.3055586,-157.8270902,,"2056, Manoa Road, Lower Mānoa, Makiki, East Honolulu, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330687,21.3072108,-157.8258051,,"J.P. Mendonca Residence, 1942, Judd Hillside Road, Lower Mānoa, Makiki, East Honolulu, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330688,21.3065493,-157.8266458,,"Judd Hillside Road, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330689,21.3070006,-157.8279357,,"Ualakaa Street, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330690,21.3067704,-157.8276045,,"Alihilani Place, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330691,21.3069645,-157.8264407,,"Judd Hillside Road, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
osm-480330692,21.3066039,-157.8270888,,"Judd Hillside Road, Lower Mānoa, Makiki, Honolulu, Honolulu County, Hawaii, 96822, United States",honolulu,osm
